"","IDEOLOGIA","GOSTA_BOLSONARO","GOSTA_PT","GOSTA_LULA","INTERV_MIL_CRIME","INTERV_MIL_CORRUPCAO","INTERV_MIL_INST_POL","cluster","membership_cluster1","membership_cluster2","membership_cluster3"
"86",10,0,10,10,1,2,1,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"87",1,0,5,6,2,2,2,2,0.0018445236898459,0.993375609038411,0.00477986727174346
"88",10,10,0,0,1,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"89",10,1,10,8,2,2,2,3,0.0576004754370169,0.0398228171539922,0.902576707408991
"90",5,0,0,4,2,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"91",10,10,0,3,2,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"92",5,5,7,5,2,2,2,3,0.280947515276685,0.285812622484835,0.43323986223848
"93",10,0,10,10,1,1,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"94",10,8,0,0,1,1,1,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"95",10,10,2,0,1,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"96",10,0,10,10,2,1,1,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"97",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"98",10,0,6,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"99",0,0,5,10,2,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"100",10,5,10,10,2,2,2,3,0.462027183622565,0.0697868238365981,0.468185992540837
"101",5,0,5,10,2,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"102",0,0,9,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"103",3,4,2,4,2,2,2,2,0.135209941892678,0.610253876571154,0.254536181536168
"104",7,6,9,10,2,2,2,1,0.523648047172003,0.115610977808634,0.360740975019363
"105",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"106",3,2,10,10,2,2,2,2,0.0521898371480172,0.790894557094837,0.156915605757146
"107",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"108",5,0,10,10,2,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"109",0,0,8,10,1,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"110",0,10,0,0,1,1,1,2,0.353637644137966,0.407216372177442,0.239145983684592
"111",10,10,0,0,1,2,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"112",5,3,7,7,1,2,2,3,0.134041585002754,0.325953365517168,0.540005049480079
"113",5,3,1,1,2,2,2,3,0.134041585002754,0.325953365517168,0.540005049480079
"114",10,0,10,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"115",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"116",0,10,0,7,1,1,1,2,0.353637644137966,0.407216372177442,0.239145983684592
"117",10,0,10,10,2,1,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"118",4,6,5,5,2,2,2,2,0.322202275174617,0.348716635861736,0.329081088963646
"119",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"120",0,9,0,0,1,1,1,2,0.315177898481815,0.448523176600489,0.236298924917696
"121",10,10,0,0,2,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"122",5,0,5,6,2,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
